Day,Date High,High,Date Low, Low , Closing , No. of Trades , No. of Shares , Turnover ,Last Traded,Days Traded
,,,,,,,,,,
1/4/2010,4-Jan-10,222,4-Jan-10,201,219.25,92,100200.00,21599100.00,4-Jan-10,1
1/5/2010,5-Jan-10,226.25,5-Jan-10,219,220.25,87,133400.00,29577850.00,5-Jan-10,1
1/6/2010,6-Jan-10,220.5,6-Jan-10,216,218,17,27500.00,6025750.00,6-Jan-10,1
1/7/2010,7-Jan-10,220,7-Jan-10,217,220,53,78600.00,17230225.00,7-Jan-10,1
1/8/2010,8-Jan-10,224,8-Jan-10,218,222,27,27300.00,6052350.00,8-Jan-10,1
1/11/2010,11-Jan-10,223.5,11-Jan-10,222,222,31,118000.00,26197500.00,11-Jan-10,1
1/12/2010,12-Jan-10,222,12-Jan-10,217,219.75,37,106300.00,23458975.00,12-Jan-10,1
1/13/2010,13-Jan-10,219.25,13-Jan-10,218,218.25,2,700.00,152850.00,13-Jan-10,1
1/15/2010,15-Jan-10,219.25,15-Jan-10,217,217.75,31,25300.00,5529650.00,15-Jan-10,1
1/18/2010,18-Jan-10,217.75,18-Jan-10,215,215.5,42,89300.00,19247100.00,18-Jan-10,1
1/19/2010,19-Jan-10,215.5,19-Jan-10,212.5,213.5,40,92100.00,19784775.00,19-Jan-10,1
1/20/2010,20-Jan-10,214.25,20-Jan-10,213,214.25,21,18100.00,3873625.00,20-Jan-10,1
1/21/2010,21-Jan-10,220,21-Jan-10,213.5,220,38,157100.00,33804350.00,21-Jan-10,1
1/22/2010,22-Jan-10,220,22-Jan-10,217,217,25,53900.00,11839550.00,22-Jan-10,1
1/25/2010,25-Jan-10,220,25-Jan-10,215,215.5,31,33000.00,7163600.00,25-Jan-10,1
1/26/2010,26-Jan-10,219,26-Jan-10,216,217.5,19,28100.00,6111400.00,26-Jan-10,1
1/28/2010,28-Jan-10,222,28-Jan-10,215.5,220,85,200200.00,44009275.00,28-Jan-10,1
2/1/2010,1-Feb-10,260,1-Feb-10,225,230,290,133200.00,31218300.00,1-Feb-10,1
2/2/2010,2-Feb-10,244.75,2-Feb-10,228,229.25,84,75800.00,17525775.00,2-Feb-10,1
2/3/2010,3-Feb-10,230,3-Feb-10,225,225.25,44,28600.00,6488025.00,3-Feb-10,1
2/5/2010,5-Feb-10,225,5-Feb-10,224,224.75,29,32600.00,7326550.00,5-Feb-10,1
